import time: self [us] | cumulative | imported package
import time:      1978 |       3381 |                 certifi
import time:       816 |       4197 |               requests.certs
import time:       747 |        747 |               requests.__version__
import time:      1309 |       1309 |               requests._internal_utils
import time:      1026 |       1026 |               requests.cookies
import time:       864 |        864 |               requests.structures
import time:       895 |        895 |               importlib.resources._adapters
import time:       851 |        851 |                   importlib.resources._itertools
import time:      1086 |       1937 |                 importlib.resources.readers
import time:       880 |       2817 |               importlib.readers
import time:      1360 |      13211 |             requests.utils
import time:      1120 |       1120 |                   requests.auth
import time:      1719 |       1719 |                       stringprep
import time:      1254 |       2973 |                     encodings.idna
import time:       949 |        949 |                     requests.hooks
import time:      1045 |       1045 |                     requests.status_codes
import time:      1178 |       6143 |                   requests.models
import time:      1097 |       1097 |                     urllib3.contrib
import time:       877 |        877 |                     socks
import time:      1459 |       3431 |                   urllib3.contrib.socks
import time:   6508124 |    6518817 |                 requests.adapters
import time:      1207 |    6520024 |               requests.sessions
import time:       922 |    6520945 |             requests.api
import time:      1732 |    6621252 |           requests
import time:      5276 |       5276 |             pydantic._internal._decorators_v1
import time:      4862 |       4862 |                     pydantic.v1.typing
import time:      7402 |      12263 |                   pydantic.v1.errors
import time:      4965 |       4965 |                       cython
import time:      4132 |       9097 |                     pydantic.v1.version
import time:      6139 |      15236 |                   pydantic.v1.utils
import time:      5364 |      32862 |                 pydantic.v1.class_validators
import time:      6551 |       6551 |                 pydantic.v1.config
import time:      4782 |       4782 |                     pydantic.v1.color
import time:      7377 |       7377 |                         pydantic.v1.datetime_parse
import time:      5293 |      12670 |                       pydantic.v1.validators
import time:      6079 |      18749 |                     pydantic.v1.networks
import time:     10208 |      10208 |                     pydantic.v1.types
import time:      4643 |      38380 |                   pydantic.v1.json
import time:      4787 |      43166 |                 pydantic.v1.error_wrappers
import time:      5552 |       5552 |                 pydantic.v1.fields
import time:      3871 |       3871 |                   pydantic.v1.parse
import time:      5192 |       5192 |                   pydantic.v1.schema
import time:      6610 |      15673 |                 pydantic.v1.main
import time:      7498 |     111300 |               pydantic.v1.dataclasses
import time:      4410 |       4410 |               pydantic.v1.annotated_types
import time:      3657 |       3657 |               pydantic.v1.decorator
import time:      5575 |       5575 |               pydantic.v1.env_settings
import time:      4196 |       4196 |               pydantic.v1.tools
import time:      4963 |     134098 |             pydantic.v1
import time:     22502 |     161876 |           langchain_core.utils.pydantic
import time:      1614 |    6789860 |         langchain_core.utils.utils
import time:       860 |    6797199 |       langchain_core.messages
import time:      5726 |       5726 |           xml
import time:      3866 |       3866 |             xml.sax.handler
import time:      4062 |       4062 |             xml.sax._exceptions
import time:      6971 |      14899 |           xml.sax.xmlreader
import time:      6048 |      26672 |         xml.sax
import time:      3925 |      30596 |       xml.sax.saxutils
import time:      5194 |       5194 |       langchain_core.exceptions
import time:      5906 |       5906 |                   langchain_core.load.serializable
import time:      4371 |      10276 |                 langchain_core.load._validation
import time:      4294 |       4294 |                 langchain_core.load.mapping
import time:      7809 |      22378 |               langchain_core.load.load
import time:      4785 |      27163 |             langchain_core.load
import time:       164 |      27326 |           langchain_core.load.serializable
import time:      3473 |       3473 |           langchain_core.utils._merge
import time:      3251 |       3251 |           langchain_core.utils.interactive_env
import time:     14018 |      48068 |         langchain_core.messages.base
import time:     12156 |      12156 |         langchain_core.messages.tool
import time:      3899 |       3899 |         langchain_core.utils.json
import time:      3298 |       3298 |         langchain_core.utils.usage
import time:     29587 |      97005 |       langchain_core.messages.ai
import time:      5334 |       5334 |           langchain_core.messages.block_translators.anthropic
import time:      3211 |       3211 |           langchain_core.messages.block_translators.bedrock
import time:      4301 |       4301 |           langchain_core.messages.block_translators.bedrock_converse
import time:      3514 |       3514 |             filetype
import time:      3868 |       7382 |           langchain_core.messages.block_translators.google_genai
import time:      3666 |       3666 |           langchain_core.messages.block_translators.google_vertexai
import time:      4517 |       4517 |           langchain_core.messages.block_translators.groq
import time:      7460 |       7460 |                 langchain_core.language_models._utils
import time:      4468 |      11927 |               langchain_core.language_models
import time:       152 |      12078 |             langchain_core.language_models._utils
import time:      3894 |      15972 |           langchain_core.messages.block_translators.openai
import time:      4810 |      49188 |         langchain_core.messages.block_translators
import time:       114 |      49302 |       langchain_core.messages.block_translators.openai
import time:     10155 |      10155 |       langchain_core.messages.chat
import time:      8187 |       8187 |       langchain_core.messages.function
import time:      8260 |       8260 |       langchain_core.messages.human
import time:      5753 |       5753 |       langchain_core.messages.modifier
import time:     10013 |      10013 |       langchain_core.messages.system
import time:      3224 |       3224 |         langchain_core.utils.json_schema
import time:      5117 |       8340 |       langchain_core.utils.function_calling
import time:      3589 |       3589 |       langchain_text_splitters
import time:      4096 |       4096 |         langchain_core.runnables
import time:      4338 |       4338 |           langchain_core.callbacks
import time:      4030 |       4030 |           concurrent.futures.thread
import time:      4518 |       4518 |           langchain_core.callbacks.base
import time:      3821 |       3821 |           langchain_core.callbacks.stdout
import time:      4238 |       4238 |           langchain_core.globals
import time:      3114 |       3114 |           langchain_core.utils.env
import time:      5067 |       5067 |                 uuid_utils._uuid_utils
import time:      6520 |      11587 |               uuid_utils
import time:      4312 |      15898 |             uuid_utils.compat
import time:      3445 |      19343 |           langchain_core.utils.uuid
import time:     10222 |      53622 |         langchain_core.callbacks.manager
import time:      6663 |       6663 |           langchain_core.runnables.utils
import time:      4245 |      10908 |         langchain_core.runnables.config
import time:      4832 |       4832 |           langchain_core.tracers
import time:      6476 |      11308 |         langchain_core.tracers._streaming
import time:      4323 |       4323 |           langchain_core.outputs
import time:      6706 |       6706 |           langchain_core.outputs.generation
import time:      4329 |       4329 |           langchain_core.outputs.run_info
import time:      7524 |       7524 |           langchain_core.runnables.schema
import time:      4848 |       4848 |             pprint
import time:      7078 |       7078 |               jsonpointer
import time:      8193 |      15270 |             jsonpatch
import time:      7118 |       7118 |                   langsmith
import time:      5560 |       5560 |                       langsmith._internal
import time:      8027 |      13586 |                     langsmith._internal._context
import time:    193313 |     193313 |                     langsmith.schemas
import time:      7764 |       7764 |                         httpx.__version__
import time:      5712 |       5712 |                               httpx._exceptions
import time:      6848 |       6848 |                                     httpx._types
import time:      4286 |       4286 |                                     httpx._utils
import time:      5967 |      17101 |                                   httpx._multipart
import time:      5026 |      22126 |                                 httpx._content
import time:      4520 |       4520 |                                   brotli
import time:      4249 |       4249 |                                   brotlicffi
import time:      5398 |      14166 |                                 httpx._decoders
import time:      5745 |       5745 |                                 httpx._status_codes
import time:      7395 |       7395 |                                   httpx._urlparse
import time:      5001 |      12395 |                                 httpx._urls
import time:      6858 |      61290 |                               httpx._models
import time:      5384 |      72385 |                             httpx._auth
import time:      4784 |       4784 |                             httpx._config
import time:      4769 |       4769 |                                   httpx._transports.base
import time:      8194 |      12962 |                                 httpx._transports.asgi
import time:      6632 |       6632 |                                 httpx._transports.default
import time:      5010 |       5010 |                                 httpx._transports.mock
import time:      4605 |       4605 |                                 httpx._transports.wsgi
import time:      6744 |      35952 |                               httpx._transports
import time:       242 |      36194 |                             httpx._transports.base
import time:      6975 |     120336 |                           httpx._client
import time:      4297 |     124633 |                         httpx._api
import time:      7855 |       7855 |                               gettext
import time:      8527 |       8527 |                                       _ctypes
import time:      8174 |       8174 |                                       ctypes._endian
import time:     10314 |      27014 |                                     ctypes
import time:      6072 |       6072 |                                     ctypes.wintypes
import time:      7851 |      40936 |                                   click._winconsole
import time:      6459 |      47395 |                                 click._compat
import time:      4503 |       4503 |                                   click.globals
import time:      5815 |       5815 |                                   click.utils
import time:      5580 |      15898 |                                 click.exceptions
import time:      9812 |      73104 |                               click.types
import time:      5627 |       5627 |                               click._utils
import time:      4835 |       4835 |                                 click.parser
import time:      3758 |       8593 |                               click.formatting
import time:      5358 |       5358 |                               click.termui
import time:     13401 |     113935 |                             click.core
import time:      4912 |       4912 |                             click.decorators
import time:     10575 |     129421 |                           click
import time:      4638 |       4638 |                             pygments
import time:        97 |       4735 |                           pygments.lexers
import time:      4885 |     139039 |                         httpx._main
import time:      8608 |     280043 |                       httpx
import time:      6426 |     286469 |                     langsmith.utils
import time:      7685 |       7685 |                         xxhash._xxhash
import time:      4521 |       4521 |                         xxhash.version
import time:      8823 |      21028 |                       xxhash
import time:      4468 |      25496 |                     langsmith._internal._uuid
import time:      5399 |       5399 |                             requests_toolbelt._compat
import time:      8462 |      13861 |                           requests_toolbelt.adapters.ssl
import time:      4355 |       4355 |                           requests_toolbelt.adapters.source
import time:     10136 |      28350 |                         requests_toolbelt.adapters
import time:      4512 |       4512 |                           requests_toolbelt.auth
import time:      4954 |       4954 |                           requests_toolbelt.auth._digest_auth_compat
import time:      4981 |       4981 |                           requests_toolbelt.auth.http_proxy_digest
import time:      7731 |      22177 |                         requests_toolbelt.auth.guess
import time:      7975 |       7975 |                           requests_toolbelt.multipart.encoder
import time:      5230 |       5230 |                           requests_toolbelt.multipart.decoder
import time:      6709 |      19913 |                         requests_toolbelt.multipart
import time:      4730 |       4730 |                         requests_toolbelt.streaming_iterator
import time:      5046 |       5046 |                           requests_toolbelt.utils
import time:      8659 |      13704 |                         requests_toolbelt.utils.user_agent
import time:      8884 |      97756 |                       requests_toolbelt
import time:      7603 |       7603 |                         langsmith.env._git
import time:      4889 |       4889 |                           psutil
import time:      4682 |       9570 |                         langsmith.env._runtime_env
import time:      6500 |      23672 |                       langsmith.env
import time:      4818 |       4818 |                       langsmith._internal._orjson
import time:      6587 |       6587 |                       langsmith._internal._profiles
import time:      4921 |       4921 |                             multiprocessing.process
import time:      4928 |       4928 |                             multiprocessing.reduction
import time:      7640 |      17488 |                           multiprocessing.context
import time:      7240 |      24728 |                         multiprocessing
import time:      4802 |       4802 |                         langsmith._internal._compressed_traces
import time:      4737 |       4737 |                         langsmith._internal._constants
import time:      3442 |       3442 |                           langsmith._internal._multipart
import time:      8957 |       8957 |                           langsmith._internal._serde
import time:      5002 |      17399 |                         langsmith._internal._operations
import time:      5050 |      56715 |                       langsmith._internal._background_thread
import time:      3870 |       3870 |                       langsmith._internal._beta_decorator
import time:      4654 |       4654 |                       langsmith._internal._hub
import time:      5823 |       5823 |                       langsmith.prompt_cache
import time:      3361 |       3361 |                           opentelemetry
import time:       185 |       3546 |                         opentelemetry.sdk
import time:       182 |       3727 |                       opentelemetry.sdk.trace
import time:     10639 |     218257 |                     langsmith.client
import time:      2981 |       2981 |                     langsmith.uuid
import time:      6492 |       6492 |                     pydantic._internal._serializers
import time:     25588 |     772177 |                   langsmith.run_trees
import time:      4065 |     783359 |                 langchain_core.tracers.schemas
import time:      4266 |     787624 |               langchain_core.tracers.core
import time:      4167 |     791791 |             langchain_core.tracers.base
import time:      7205 |       7205 |             langchain_core.tracers.memory_stream
import time:      8743 |     827856 |           langchain_core.tracers.log_stream
import time:      4681 |       4681 |           langchain_core.utils.aiter
import time:     22209 |     877625 |         langchain_core.tracers.event_stream
import time:      3661 |       3661 |         langchain_core.tracers.root_listeners
import time:      3775 |       3775 |         langchain_core.utils.iter
import time:      2449 |       2449 |           langgraph.cache
import time:      2799 |       2799 |               langgraph.checkpoint
import time:      5504 |       8303 |             langgraph.checkpoint.serde
import time:      6907 |      15210 |           langgraph.checkpoint.serde.base
import time:      5047 |       5047 |               ormsgpack.ormsgpack
import time:      6784 |      11830 |             ormsgpack
import time:      4055 |       4055 |             langgraph.checkpoint.serde._msgpack
import time:      4506 |       4506 |             langgraph.checkpoint.serde.event_hooks
import time:      4743 |       4743 |             langgraph.checkpoint.serde.types
import time:      3380 |       3380 |               langgraph.store
import time:      4073 |       4073 |               langchain_core.embeddings
import time:      5776 |       5776 |               langgraph.store.base.embed
import time:     18317 |      31545 |             langgraph.store.base
import time:      5067 |      61745 |           langgraph.checkpoint.serde.jsonplus
import time:      6123 |      85526 |         langgraph.cache.base
import time:      5375 |       5375 |           langgraph.checkpoint.base.id
import time:      3458 |       3458 |           langgraph.checkpoint.serde.encrypted
import time:      6208 |      15040 |         langgraph.checkpoint.base
import time:      3270 |       3270 |         langgraph._internal._serde
import time:      4128 |       4128 |           langgraph._internal._typing
import time:      3359 |       7486 |         langgraph._internal._fields
import time:      3137 |       3137 |         langgraph._internal._pydantic
import time:      3541 |       3541 |                 langsmith._runtime_overrides
import time:      4576 |       8116 |               langsmith._internal._aiter
import time:      8322 |      16438 |             langsmith.run_helpers
import time:      5191 |       5191 |               tenacity._utils
import time:      5860 |       5860 |               tenacity.retry
import time:      4233 |       4233 |               tenacity.nap
import time:      4537 |       4537 |               tenacity.stop
import time:      5118 |       5118 |               tenacity.wait
import time:      3544 |       3544 |               tenacity.before
import time:      3386 |       3386 |               tenacity.after
import time:      4010 |       4010 |               tenacity.before_sleep
import time:      3560 |       3560 |               tornado
import time:      6620 |       6620 |                 tenacity.asyncio.retry
import time:      5784 |      12404 |               tenacity.asyncio
import time:     12993 |      64833 |             tenacity
import time:      3320 |       3320 |             langchain_core.env
import time:      3854 |       3854 |             langchain_core.tracers._compat
import time:      4706 |      93149 |           langchain_core.tracers.langchain
import time:      3558 |       3558 |           langgraph._internal._config
import time:      3722 |       3722 |               langgraph._internal._cache
import time:      3316 |       3316 |               langgraph._internal._retry
import time:     22024 |      29061 |             langgraph.types
import time:      5529 |      34590 |           langgraph.errors
import time:      6060 |     137356 |         langgraph._internal._runnable
import time:      3498 |       3498 |         langgraph._internal._timeout
import time:      3676 |       3676 |               langgraph.channels.base
import time:      6145 |       9821 |             langgraph.channels.any_value
import time:      4111 |       4111 |             langgraph.channels.binop
import time:      3852 |       3852 |             langgraph.channels.delta
import time:      3020 |       3020 |             langgraph.channels.ephemeral_value
import time:      2867 |       2867 |             langgraph.channels.last_value
import time:      3354 |       3354 |             langgraph.channels.named_barrier_value
import time:      2613 |       2613 |             langgraph.channels.topic
import time:      2769 |       2769 |             langgraph.channels.untracked_value
import time:      4754 |      37156 |           langgraph.channels
import time:        74 |      37230 |         langgraph.channels.base
import time:      8147 |       8147 |                 langchain_core.runnables.graph
import time:      4176 |       4176 |                 langgraph._internal._queue
import time:      6658 |       6658 |                 langgraph.callbacks
import time:      4164 |       4164 |                 langgraph.config
import time:      6551 |       6551 |                       langgraph._internal._scratchpad
import time:      4642 |       4642 |                       langgraph.managed.base
import time:      6215 |      17407 |                     langgraph.managed.is_last_step
import time:      4799 |      22205 |                   langgraph.managed
import time:       167 |      22372 |                 langgraph.managed.base
import time:      4630 |       4630 |                     langgraph.pregel._write
import time:      3969 |       8599 |                   langgraph.pregel._call
import time:      4008 |       4008 |                     langgraph.pregel._log
import time:      4489 |       8497 |                   langgraph.pregel._io
import time:      5048 |       5048 |                         langgraph.typing
import time:      4486 |       9533 |                       langgraph.pregel.protocol
import time:      4886 |      14419 |                     langgraph.pregel._utils
import time:      3837 |      18256 |                   langgraph.pregel._read
import time:      6698 |       6698 |                             langgraph_sdk.auth.exceptions
import time:     15754 |      15754 |                             langgraph_sdk.auth.types
import time:      9725 |      32176 |                           langgraph_sdk.auth
import time:      5223 |       5223 |                                       langgraph_sdk._shared
import time:     18795 |      18795 |                                       langgraph_sdk.schema
import time:      7941 |      31958 |                                     langgraph_sdk._shared.utilities
import time:      5543 |       5543 |                                     langgraph_sdk.errors
import time:      5462 |       5462 |                                     langgraph_sdk.sse
import time:      5733 |      48695 |                                   langgraph_sdk._async.http
import time:      9226 |      57921 |                                 langgraph_sdk._async.assistants
import time:      4692 |       4692 |                                   langgraph_sdk._async.cron
import time:      5274 |       5274 |                                   langgraph_sdk._async.runs
import time:      4489 |       4489 |                                   langgraph_sdk._async.store
import time:     23851 |      23851 |                                               langchain_protocol.protocol
import time:      8464 |      32314 |                                             langchain_protocol
import time:       176 |      32490 |                                           langchain_protocol.protocol
import time:      5367 |      37856 |                                         langchain_core.language_models._compat_bridge
import time:      5838 |      43694 |                                       langchain_core.language_models.chat_model_stream
import time:      5586 |       5586 |                                         langgraph_sdk.stream
import time:     11361 |      11361 |                                           langgraph_sdk.stream.transport.base
import time:      5341 |       5341 |                                           langgraph_sdk.stream.transport.http
import time:      4760 |       4760 |                                           langgraph_sdk.stream.transport.sync_http
import time:      7481 |       7481 |                                                   websockets.imports
import time:      4586 |       4586 |                                                   websockets.version
import time:     10630 |      22697 |                                                 websockets
import time:      4742 |      27439 |                                               websockets.sync
import time:      4822 |       4822 |                                                 websockets.datastructures
import time:      4665 |       4665 |                                                     websockets.speedups
import time:      4372 |       4372 |                                                         websockets.typing
import time:      7195 |      11567 |                                                       websockets.extensions.base
import time:      5664 |      17230 |                                                     websockets.extensions
import time:      6404 |      28299 |                                                   websockets.frames
import time:      7351 |       7351 |                                                   websockets.http11
import time:      5264 |      40912 |                                                 websockets.exceptions
import time:      5642 |       5642 |                                                 websockets.headers
import time:      5200 |       5200 |                                                   websockets.streams
import time:      6014 |      11214 |                                                 websockets.protocol
import time:      7278 |       7278 |                                                 websockets.uri
import time:      5280 |       5280 |                                                 websockets.utils
import time:      5917 |      81062 |                                               websockets.client
import time:      5367 |       5367 |                                               websockets.extensions.permessage_deflate
import time:      5809 |       5809 |                                                   websockets.sync.utils
import time:      6715 |      12523 |                                                 websockets.sync.messages
import time:      6286 |      18809 |                                               websockets.sync.connection
import time:      5457 |       5457 |                                               python_socks
import time:      9422 |     147553 |                                             websockets.sync.client
import time:      4778 |     152330 |                                           langgraph_sdk.stream.transport.sync_ws
import time:      6567 |       6567 |                                               websockets.asyncio
import time:      4985 |       4985 |                                               websockets.asyncio.compatibility
import time:      4567 |       4567 |                                                 websockets.asyncio.messages
import time:      5646 |      10212 |                                               websockets.asyncio.connection
import time:      5289 |       5289 |                                               python_socks
import time:     10340 |      37391 |                                             websockets.asyncio.client
import time:      5545 |      42935 |                                           langgraph_sdk.stream.transport.ws
import time:      5882 |     222608 |                                         langgraph_sdk.stream.transport
import time:      8932 |     237125 |                                       langgraph_sdk.stream.controller
import time:      5426 |       5426 |                                       langgraph_sdk.stream.decoders
import time:      4674 |       4674 |                                       langgraph_sdk.stream.subscription
import time:     10472 |     301389 |                                     langgraph_sdk._async.stream
import time:      5763 |     307151 |                                   langgraph_sdk._async.threads
import time:      3801 |       3801 |                                   langgraph_sdk._shared.types
import time:      5600 |     331005 |                                 langgraph_sdk._async.client
import time:      5189 |     394114 |                               langgraph_sdk._async
import time:       310 |     394424 |                             langgraph_sdk._async.assistants
import time:      4376 |       4376 |                                   langgraph_sdk._sync.http
import time:      8613 |      12989 |                                 langgraph_sdk._sync.assistants
import time:      4862 |       4862 |                                   langgraph_sdk._sync.cron
import time:      4869 |       4869 |                                   langgraph_sdk._sync.runs
import time:      4014 |       4014 |                                   langgraph_sdk._sync.store
import time:     13533 |      13533 |                                       langgraph_sdk.stream.sync_controller
import time:      6901 |      20433 |                                     langgraph_sdk._sync.stream
import time:      5858 |      26291 |                                   langgraph_sdk._sync.threads
import time:      5307 |      45340 |                                 langgraph_sdk._sync.client
import time:      6757 |      65084 |                               langgraph_sdk._sync
import time:       122 |      65205 |                             langgraph_sdk._sync.assistants
import time:      5424 |     465052 |                           langgraph_sdk.client
import time:      7939 |       7939 |                             langgraph_sdk.encryption.types
import time:      6776 |      14715 |                           langgraph_sdk.encryption
import time:      8633 |     520575 |                         langgraph_sdk
import time:       192 |     520766 |                       langgraph_sdk.auth
import time:       223 |     520989 |                     langgraph_sdk.auth.types
import time:     10616 |     531604 |                   langgraph.runtime
import time:      5799 |     572753 |                 langgraph.pregel._algo
import time:      4414 |       4414 |                 langgraph.pregel._checkpoint
import time:      5621 |       5621 |                 langgraph.pregel._draw
import time:      4692 |       4692 |                   langgraph._internal._replay
import time:      4479 |       4479 |                     langgraph._internal._future
import time:      4673 |       9151 |                   langgraph.pregel._executor
import time:      4693 |       4693 |                   langgraph.pregel._messages
import time:      4144 |       4144 |                   langgraph.pregel.debug
import time:      5374 |      28053 |                 langgraph.pregel._loop
import time:      9471 |       9471 |                 langgraph.pregel._retry
import time:      4766 |       4766 |                 langgraph.pregel._runner
import time:      3973 |       3973 |                 langgraph.pregel._tools
import time:      3720 |       3720 |                 langgraph.pregel._validate
import time:      6947 |       6947 |                     langgraph.stream._types
import time:      3860 |       3860 |                       langgraph.stream._convert
import time:      5235 |       5235 |                         langgraph.stream.stream_channel
import time:      4252 |       9487 |                       langgraph.stream._mux
import time:      4707 |      18053 |                     langgraph.stream.run_stream
import time:      5909 |       5909 |                     langgraph.stream.transformers
import time:      4651 |      35559 |                   langgraph.stream
import time:       154 |      35713 |                 langgraph.stream._mux
import time:     11358 |     725351 |               langgraph.pregel.main
import time:      4086 |     729437 |             langgraph.pregel
import time:       144 |     729581 |           langgraph.pregel._write
import time:      4263 |     733844 |         langgraph.graph._branch
import time:      7033 |       7033 |         langgraph.graph._node
import time:     46655 |    2045061 |       langgraph.graph.state
import time:     11024 |    9089672 |     langgraph.graph.message
import time:      1399 |    9094799 |   langgraph.graph
import time:      3390 |       3390 |   langgraph.checkpoint.memory
import time:      5952 |       5952 |           openai._types
import time:      4707 |       4707 |                 openai._compat
import time:      5300 |      10007 |               openai._utils._utils
import time:      5500 |      15506 |             openai._utils._logs
import time:      4114 |       4114 |             openai._utils._sync
import time:      3713 |       3713 |             openai._utils._proxy
import time:      3517 |       3517 |             openai._utils._typing
import time:      3427 |       3427 |             openai._utils._streams
import time:      2622 |       2622 |               openai._files
import time:      3024 |       5645 |             openai._utils._transform
import time:      2884 |       2884 |             openai._utils._reflection
import time:      4459 |      43264 |           openai._utils
import time:      3011 |       3011 |           openai._constants
import time:     13938 |      66163 |         openai._models
import time:      4343 |       4343 |         openai.types.batch_error
import time:      6063 |       6063 |             openai.types.shared.metadata
import time:      3653 |       3653 |               openai.types.shared.reasoning_effort
import time:      5191 |       8843 |             openai.types.shared.reasoning
import time:      3520 |       3520 |               openai.types.shared.chat_model
import time:      3950 |       7470 |             openai.types.shared.all_models
import time:      3988 |       3988 |             openai.types.shared.error_object
import time:      5675 |       5675 |               openai.types.shared.comparison_filter
import time:      4568 |      10243 |             openai.types.shared.compound_filter
import time:      3367 |       3367 |             openai.types.shared.responses_model
import time:      4273 |       4273 |               openai.types.shared.function_parameters
import time:      4324 |       8597 |             openai.types.shared.function_definition
import time:      4537 |       4537 |             openai.types.shared.response_format_text
import time:      4878 |       4878 |             openai.types.shared.response_format_json_object
import time:      4773 |       4773 |             openai.types.shared.response_format_json_schema
import time:      4989 |      67744 |           openai.types.shared
import time:       155 |      67899 |         openai.types.shared.metadata
import time:      4088 |       4088 |         openai.types.batch_request_counts
import time:      8209 |     150700 |       openai.types.batch
import time:      3335 |       3335 |       openai.types.image
import time:      3283 |       3283 |       openai.types.model
import time:      3964 |       3964 |         openai.types.file_object
import time:      4348 |       8312 |       openai.types.upload
import time:      3859 |       3859 |       openai.types.embedding
import time:      2390 |       2390 |       openai.types.chat_model
import time:      5402 |       5402 |         openai.types.completion_usage
import time:      5131 |       5131 |         openai.types.completion_choice
import time:      3524 |      14056 |       openai.types.completion
import time:      9299 |       9299 |       openai.types.moderation
import time:      3210 |       3210 |       openai.types.audio_model
import time:      3583 |       3583 |       openai.types.image_model
import time:      2051 |       2051 |       openai.types.file_content
import time:      4422 |       4422 |       openai.types.file_deleted
import time:      3103 |       3103 |       openai.types.file_purpose
import time:      5152 |       5152 |       openai.types.vector_store
import time:      3173 |       3173 |       openai.types.model_deleted
import time:      2800 |       2800 |       openai.types.embedding_model
import time:      3888 |       3888 |       openai.types.images_response
import time:      3218 |       3218 |       openai.types.eval_list_params
import time:      3823 |       3823 |       openai.types.file_list_params
import time:      3479 |       3479 |       openai.types.moderation_model
import time:      3515 |       3515 |       openai.types.batch_list_params
import time:      4276 |       4276 |       openai.types.image_edit_params
import time:      5202 |       5202 |             openai.types.shared_params.metadata
import time:      3694 |       3694 |             openai.types.shared_params.reasoning
import time:      3324 |       3324 |             openai.types.shared_params.chat_model
import time:      4142 |       4142 |               openai.types.shared_params.comparison_filter
import time:      3858 |       8000 |             openai.types.shared_params.compound_filter
import time:      2993 |       2993 |             openai.types.shared_params.responses_model
import time:      3335 |       3335 |             openai.types.shared_params.reasoning_effort
import time:      4212 |       4212 |               openai.types.shared_params.function_parameters
import time:      4158 |       8369 |             openai.types.shared_params.function_definition
import time:      3879 |       3879 |             openai.types.shared_params.response_format_text
import time:      3560 |       3560 |             openai.types.shared_params.response_format_json_object
import time:      3888 |       3888 |             openai.types.shared_params.response_format_json_schema
import time:      5635 |      51875 |           openai.types.shared_params
import time:       129 |      52003 |         openai.types.shared_params.metadata
import time:      3733 |       3733 |         openai.types.eval_string_check_grader_param
import time:      2886 |       2886 |         openai.types.eval_text_similarity_grader_param
import time:      5470 |      64091 |       openai.types.eval_create_params
import time:      7189 |       7189 |         openai.types.eval_label_model_grader
import time:      4559 |       4559 |         openai.types.eval_string_check_grader
import time:      4586 |       4586 |         openai.types.eval_text_similarity_grader
import time:      3480 |       3480 |         openai.types.eval_custom_data_source_config
import time:      3221 |       3221 |         openai.types.eval_stored_completions_data_source_config
import time:      5152 |      28186 |       openai.types.eval_list_response
import time:      3918 |       3918 |       openai.types.eval_update_params
import time:      3407 |       3407 |       openai.types.file_create_params
import time:      3003 |       3003 |       openai.types.batch_create_params
import time:      4044 |       4044 |       openai.types.eval_create_response
import time:      3016 |       3016 |       openai.types.eval_delete_response
import time:      3967 |       3967 |       openai.types.eval_update_response
import time:      2492 |       2492 |       openai.types.upload_create_params
import time:      3383 |       3383 |       openai.types.vector_store_deleted
import time:      2707 |       2707 |       openai.types.audio_response_format
import time:      2600 |       2600 |       openai.types.image_generate_params
import time:      3362 |       3362 |       openai.types.eval_retrieve_response
import time:      3154 |       3154 |         openai.types.other_file_chunking_strategy_object
import time:      2944 |       2944 |           openai.types.static_file_chunking_strategy
import time:      3122 |       6065 |         openai.types.static_file_chunking_strategy_object
import time:      3085 |      12304 |       openai.types.file_chunking_strategy
import time:      3401 |       3401 |       openai.types.upload_complete_params
import time:      4270 |       4270 |       openai.types.embedding_create_params
import time:      3685 |       3685 |                 openai.types.chat.chat_completion_audio
import time:      3949 |       3949 |                 openai.types.chat.chat_completion_message_tool_call
import time:      6252 |      13884 |               openai.types.chat.chat_completion_message
import time:      4421 |       4421 |               openai.types.chat.chat_completion_token_logprob
import time:      7629 |      25933 |             openai.types.chat.chat_completion
import time:      3106 |       3106 |             openai.types.chat.chat_completion_role
import time:      7533 |       7533 |             openai.types.chat.chat_completion_chunk
import time:      3163 |       3163 |             openai.types.chat.completion_list_params
import time:      4048 |       4048 |               openai.types.chat.parsed_function_tool_call
import time:      6368 |      10416 |             openai.types.chat.parsed_chat_completion
import time:      4108 |       4108 |             openai.types.chat.chat_completion_deleted
import time:      3269 |       3269 |             openai.types.chat.chat_completion_modality
import time:      4313 |       4313 |               openai.types.chat.chat_completion_tool_param
import time:      3726 |       3726 |               openai.types.chat.chat_completion_audio_param
import time:      4475 |       4475 |                   openai.types.chat.chat_completion_content_part_text_param
import time:      3921 |       8396 |                 openai.types.chat.chat_completion_tool_message_param
import time:      3580 |       3580 |                     openai.types.chat.chat_completion_content_part_image_param
import time:      3758 |       3758 |                     openai.types.chat.chat_completion_content_part_input_audio_param
import time:      4612 |      11949 |                   openai.types.chat.chat_completion_content_part_param
import time:      5417 |      17366 |                 openai.types.chat.chat_completion_user_message_param
import time:      3655 |       3655 |                 openai.types.chat.chat_completion_system_message_param
import time:      4919 |       4919 |                 openai.types.chat.chat_completion_function_message_param
import time:      5147 |       5147 |                   openai.types.chat.chat_completion_message_tool_call_param
import time:      4099 |       4099 |                   openai.types.chat.chat_completion_content_part_refusal_param
import time:      5207 |      14452 |                 openai.types.chat.chat_completion_assistant_message_param
import time:      3741 |       3741 |                 openai.types.chat.chat_completion_developer_message_param
import time:      4264 |      56791 |               openai.types.chat.chat_completion_message_param
